title,authors,citations
Viral hepatitis and HIV coinfection,"MS Sulkowski - Journal of hepatology, 2008 - Elsevier",저장 인용 448회 인용 관련 학술자료 전체 10개의 버전
[HTML] HIV–HBV coinfection—A global challenge,"AP Kourtis, M Bulterys, DJ Hu… - New England Journal of …, 2012 - Mass Medical Soc",저장 인용 244회 인용 관련 학술자료 전체 9개의 버전
HBV/HIV coinfection is associated with poorer outcomes in hospitalized patients with HBV or HIV,"R Rajbhandari, T Jun, H Khalili, RT Chung… - Journal of viral …, 2016 - Wiley Online Library",저장 인용 44회 인용 관련 학술자료 전체 6개의 버전
[HTML] HBV/HIV coinfection: impact on the development and clinical treatment of liver diseases,"Z Cheng, P Lin, N Cheng - Frontiers in Medicine, 2021 - frontiersin.org",저장 인용 24회 인용 관련 학술자료 전체 5개의 버전
"HIV-hepatitis B virus coinfection: epidemiology, pathogenesis, and treatment","KP Singh, M Crane, J Audsley, A Avihingsanon… - Aids, 2017 - journals.lww.com",저장 인용 223회 인용 관련 학술자료 전체 8개의 버전
HBV/HIV co-infection: the dynamics of HBV in South African patients with AIDS,"SH Mayaphi, TM Rossouw, DJ Martin… - South African Medical …, 2012 - journals.co.za",저장 인용 59회 인용 관련 학술자료 전체 21개의 버전
"HIV/HBV and HIV/HCV coinfection, and outcomes following highly active antiretroviral therapy","…, Australian HIV Observational Database - HIV …, 2003 - Wiley Online Library",저장 인용 209회 인용 관련 학술자료 전체 10개의 버전
Characterization of HIV–HBV coinfection in a multinational HIV-infected cohort,"CL Thio, L Smeaton, M Saulynas, H Hwang, S Saravan… - Aids, 2013 - journals.lww.com",저장 인용 113회 인용 관련 학술자료 전체 10개의 버전
[HTML] Epidemiology and challenges of HBV/HIV co-infection amongst HIV-infected patients in endemic areas,"L Weldemhret - HIV/AIDS-Research and Palliative Care, 2021 - Taylor & Francis",저장 인용 16회 인용 관련 학술자료 전체 7개의 버전
"The epidemiology, natural history and prevention of hepatitis B: implications of HIV coinfection","BH McGovern - Antiviral therapy, 2007 - journals.sagepub.com",저장 인용 78회 인용 관련 학술자료 전체 5개의 버전
